Product_id,Advert_id,Price,City_Name,Zone,City_code,Zone_code,Square_meters,Bed_rooms,Toilets,advert_url,today's_date
 4298201,34102004298201,360000,barcelona,font_de_la_guatlla, 1930008, 304,93,3,1,https://www.habitaclia.com/comprar-piso-reformado_muy_luminoso_font_de_la_guatlla-barcelona-i34102004298201.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:40.654745
 280,38535000000280,259000,barcelona,la_salut, 1930008, 603,66,2,1,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_ascensor_y_calefaccion_la_salut-barcelona-i38535000000280.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:42.331729
 4325600,36111004325600,162000,barcelona,roquetes, 1930008, 806,83,3,1,https://www.habitaclia.com/comprar-piso-oportunidad_amplio_y_luminoso_roquetes-barcelona-i36111004325600.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:43.595020
 3409200,4017003409200,450000,barcelona,dreta_de_l_eixample, 1930008, 203,80,2,1,https://www.habitaclia.com/comprar-piso-fantastico_de_2_habitaciones_en_paseo_san_juan_dreta_de_l_eixample-barcelona-i4017003409200.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:44.945863
 2805191,10848002805191,175000,barcelona,st_pere___sta_caterina___el_born, 1930008, 104,40,1,1,https://www.habitaclia.com/comprar-piso-una_oportunidad_a_dos_pasos_del_mercado_de_santa_caterina_st_pere_sta_caterina_el_born-barcelona-i10848002805191.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:00:46.209648
 4305747,23591004305747,245000,barcelona,la_verneda___la_pau, 1930008, 1010,148,4,2,https://www.habitaclia.com/comprar-duplex-con_4_habitaciones_con_ascensor_y_aire_acondicionado_la_verneda_la_pau-barcelona-i23591004305747.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:00:47.353429
 2806548,3492002806548,243000,barcelona,la_verneda___la_pau, 1930008, 1010,85,3,1,https://www.habitaclia.com/comprar-piso-en_la_verneda_la_pau-barcelona-i3492002806548.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:00:48.500396
 4300659,2257004300659,515000,barcelona,camp_de_l_arpa, 1930008, 1001,96,2,1,https://www.habitaclia.com/comprar-atico-con_terraza_y_piscina_en_promocion_de_obra_nueva_camp_de_l_arpa-barcelona-i2257004300659.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:00:49.716112
 4298574,4027004298574,390000,barcelona,el_clot, 1930008, 1002,126,4,2,https://www.habitaclia.com/comprar-piso-el_clot-barcelona-i4027004298574.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:00:50.943977
 3997139,5020003997139,185000,barcelona,raval, 1930008, 101,45,1,1,https://www.habitaclia.com/comprar-piso-raval-barcelona-i5020003997139.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:00:52.122712
 4040421,29735004040421,494500,barcelona,sagrada_familia, 1930008, 202,NA,2,1,https://www.habitaclia.com/comprar-piso-obra_nueva_sagrada_familia-barcelona-i29735004040421.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:00:53.305442
 1249,38992000001249,240000,barcelona,guinardo, 1930008, 703,55,1,1,https://www.habitaclia.com/comprar-piso-en_guinardo-barcelona-i38992000001249.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:00:54.709059
 34,39508000000034,312000,barcelona,carmel, 1930008, 705,83,3,2,https://www.habitaclia.com/comprar-atico-este_duplex_reformado_integralmente_en_el_2018_es_ideal_carmel-barcelona-i39508000000034.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:00:56.074708
 940,38188000000940,720000,barcelona,sant_gervasi___galvany, 1930008, 505,115,4,2,https://www.habitaclia.com/comprar-piso-nuevo_a_estrenar_terraza_privada_sant_gervasi_galvany-barcelona-i38188000000940.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:00:57.656586
 868,14761000000868,295000,barcelona,raval, 1930008, 101,86,3,1,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_raval-barcelona-i14761000000868.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:00:59.102493
 4257145,10024004257145,182000,barcelona,sant_andreu, 1930008, 903,69,2,1,https://www.habitaclia.com/comprar-piso-pis_en_venda_a_sant_andreu_al_costat_de_la_rambla_onze_de_sete_sant_andreu-barcelona-i10024004257145.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:01:00.483193
 3997117,5020003997117,475000,barcelona,camp_de_l_arpa, 1930008, 1001,102,4,2,https://www.habitaclia.com/comprar-piso-se_distribuye_en_un_luminoso_salon_comedor_exterior_con_salida_a_camp_de_l_arpa-barcelona-i5020003997117.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:01:01.888009
 2858747,9562002858747,490000,barcelona,provenc_als_del_poblenou, 1930008, 1008,94,3,3,https://www.habitaclia.com/comprar-piso-a_estrenar_en_gran_via_de_les_corts_catalanes_provencals_d_provenc_als_del_poblenou-barcelona-i9562002858747.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:01:03.583896
 2858800,9562002858800,545000,barcelona,sagrada_familia, 1930008, 202,126,3,2,https://www.habitaclia.com/comprar-piso-alto_y_luminoso_a_estrenar_cpadilla_sagrada_familia_junt_sagrada_familia-barcelona-i9562002858800.htm?pag=19&f=&geo=p&from=list&lo=55,2022-11-12 17:01:05.264420
 4317127,21311004317127,335000,barcelona,vila_de_gracia, 1930008, 604,68,3,1,https://www.habitaclia.com/comprar-piso-render_alto_ascensor_3_hab_triple_orientacion_doblemente_ex_vila_de_gracia-barcelona-i21311004317127.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:06.785023
 4387553,24038004387553,364800,barcelona,provenc_als_del_poblenou, 1930008, 1008,110,4,1,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_y_calefaccion_provenc_als_del_poblenou-barcelona-i24038004387553.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:08.482787
 2577538,5177002577538,850000,barcelona,dreta_de_l_eixample, 1930008, 203,172,6,2,https://www.habitaclia.com/comprar-piso-finca_noucentista_con_vistas_a_la_sagrada_familia_en_caspepo_dreta_de_l_eixample-barcelona-i5177002577538.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:09.945757
 4269979,9354004269979,2600000,barcelona,sarria, 1930008, 502,550,5,5,https://www.habitaclia.com/comprar-casa-con_5_habitaciones_con_parking_piscina_calefaccion_aire_sarria-barcelona-i9354004269979.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:11.497683
 199,13242000000199,265000,barcelona,taxonera, 1930008, 706,53,1,1,https://www.habitaclia.com/comprar-estudio-amueblado_con_ascensor_calefaccion_y_aire_acondicionado_taxonera-barcelona-i13242000000199.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:13.133498
 4317108,21311004317108,749000,barcelona,gotic, 1930008, 102,204,4,3,https://www.habitaclia.com/comprar-piso-alto_techos_de_3_metros_exterior_historico_muralla_roma_gotic-barcelona-i21311004317108.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:14.740232
 4387552,24038004387552,255800,barcelona,camp_de_l_arpa, 1930008, 1001,82,3,1,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_calefaccion_y_aire_acondic_camp_de_l_arpa-barcelona-i24038004387552.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:16.276633
 3907307,4552003907307,390000,barcelona,gotic, 1930008, 102,75,1,1,https://www.habitaclia.com/comprar-piso-lujoso_apartamento_en_el_gotico_en_finca_en_perfectas_condicione_gotic-barcelona-i4552003907307.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:17.845070
 3121070,14766003121070,205000,barcelona,poble_sec, 1930008, 301,85,3,1,https://www.habitaclia.com/comprar-piso-poble_sec-barcelona-i14766003121070.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:19.547831
 182,32937000000182,239990,barcelona,sant_andreu, 1930008, 903,73,3,1,https://www.habitaclia.com/comprar-piso-en_venta_en_sant_andreu_sant_andreu-barcelona-i32937000000182.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:21.226955
